Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,104001,18x7-8,ACHIEVER,BLACK,STD,4.33,2 LAYER,20.8,0.0303,15,0.4545,312
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,151001,9.00 - 20,ACHIEVER,BLACK,STD,7,2 LAYER,128.1,0.204,42,8.568,"5,380.20"
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,153001,10.00 - 20,ACHIEVER,BLACK,STD,7.5,2 LAYER,158.4,0.246,6,1.476,950.4
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,156001,12.00 - 20,ACHIEVER,BLACK,STD,8.5,2 LAYER,207.4,0.3074,34,10.4516,"7,051.60"
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,101002,15x4 1/2-8,ACHIEVER,BLACK,CLIP,3,2 LAYER,9.2,0.0147,8,0.1176,73.6
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,110002,140/55-9,ACHIEVER,BLACK,CLIP,4,2 LAYER,10,0.0179,12,0.2148,120
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,104002,18x7-8,ACHIEVER,BLACK,CLIP,4.33,2 LAYER,20.9,0.0303,32,0.9696,668.8
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,135002,28x9-15,ACHIEVER,BLACK,CLIP,7,2 LAYER,60.3,0.1024,22,2.2528,1326.6
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,120242,23x9-10 (WIDE),ACHIEVER,BLACK,CLIP,6.5,2 LAYER,47.3,0.068,16,1.088,756.8
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,126002,23x10-12,ACHIEVER,BLACK,CLIP,8,2 LAYER,51.2,0.0774,4,0.3096,204.8
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,136002,28x15 1/2 -15,ACHIEVER,BLACK,CLIP,9.75,2 LAYER,85.4,0.1354,4,0.5416,341.6
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,120244,23x9-10 (WIDE),ACHIEVER,NM,CLIP,6.5,3 LAYER,47,0.068,1,0.068,47
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,118012,200x50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,1,0.0388,23.9
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,104041,18x7-8,RUNNERSOLID,BLACK,STD,4.33,3 LAYER,20.3,0.0303,7,0.2121,142.1
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,110042,140/55-9,RUNNER SOLID,BLACK,CLIP,4,3 LAYER,10.1,0.0186,32,0.5952,323.2
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,104042,18x7-8,RUNNER SOLID,BLACK,CLIP,4.33,3 LAYER,20.6,0.0316,39,1.2324,803.4
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,118042,200x50-10,RUNNER SOLID,BLACK,CLIP,6.5,3 LAYER,22.8,0.0394,1,0.0394,22.8
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,120042,23x9-10,RUNNERSOLID,BLACK,CLIP,6.5,3 LAYER,44.7,0.0657,32,2.1024,1430.4
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,135042,28x9-15,RUNNERSOLID,BLACK,CLIP,7,3 LAYER,58.4,0.1041,1,0.1041,58.4
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,110044,140/55-9,RUNNER SOLID,NM,CLIP,4,3 LAYER,10.2,0.0186,10,0.186,102
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,111044,6.00-9,RUNNER SOLID,NM,CLIP,4,3 LAYER,27,0.039,8,0.312,216
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,127044,27x10-12,RUNNERSOLID,NM,CLIP,8,3 LAYER,70.3,0.1051,1,0.1051,70.3
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,136044,28x12 1/2-15,RUNNER SOLID,NM,CLIP,9.75,3 LAYER,77.6,0.1365,4,0.546,310.4
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,163357,33x12x20 (APT/ COM. WHEEL),SKIDSOLID,BLACK,CLIP-L,7.5,2 LAYER,134.5,0.1982,0,0,0
15.08.2024,TURKEY / Z&Q,154,ORDER 17 (R),971,163358,33x12x20 (APT/ COM. WHEEL),SKIDSOLID,BLACK,CLIP-R,7.5,2 LAYER,134.5,0.1982,1,0.1982,134.5
