Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,102161,5.00-8 (WIDE),ACHIEVER PLUS,BLACK,STD,3,3 LAYER ,17.4,0.0263,40,1.052,696
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,104011,18x7-8,ACHIEVER PLUS,BLACK,STD,4.33,3 LAYER ,20.8,0.0303,40,1.212,832
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,112161,21x 8-9 (WIDE),ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,34.4,0.049,30,1.47,"1,032.00"
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,111161,6.00-9 (WIDE),ACHIEVER PLUS,BLACK,STD,4,3 LAYER ,26.4,0.0303,140,4.242,"3,696.00"
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,119161,6.50-10 (WIDE),ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,35.2,0.0508,70,3.556,"2,464.00"
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,125011,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER ,45.7,0.0691,50,3.455,"2,285.00"
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,135011,28x9-15,ACHIEVER PLUS,BLACK,STD,7,3 LAYER ,59.3,0.1024,20,2.048,"1,186.00"
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,142011,7.00-15,ACHIEVER PLUS,BLACK,STD,6,3 LAYER ,58.7,0.0943,30,2.829,"1,761.00"
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,103163,16x6-8 (WIDE),ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,15.8,0.0257,30,0.771,474
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,104013,18x7-8,ACHIEVER PLUS,NM,STD,4.33,3 LAYER ,20.3,0.0303,30,0.909,609
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,111163,6.00-9 (WIDE),ACHIEVER PLUS,NM,STD,4,3 LAYER ,25.7,0.0303,20,0.606,514
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,119163,6.50-10 (WIDE),ACHIEVER PLUS,NM,STD,5,3 LAYER ,34,0.0508,20,1.016,680
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,125013,7.00-12,ACHIEVER PLUS,NM,STD,5,3 LAYER ,44.6,0.0691,30,2.073,"1,338.00"
23.09.2024,AUS-TFY,181,AUS/TFY- CONTAINER 38 (MELBOURNE),1002,701073,10x5x6 1/2,RUNNERBAND,NM,SMOOTH,-,2 LAYER,8,0.0084,6,0.05,48
