Date,Customer Name,Work order No,Reference Number,ERP Number,Item code,Tyre Size,Brand,COLOUR,FIT,RIM,Constrution,Average Finish Tyre Weight - kgs,Per Tyre Volume / cbm,Qty New- pcs,Total Volume - cbm,Total Tonage - kgs
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,119541,6.50-10 WIDE,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,35.2,0.0508,6,0.3,211.2
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,125531,7.00-12,ACHIEVER PLUS,BLACK,STD,5,3 LAYER,45.7,0.0691,18,1.24,822.6
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,150531,9.00-20 ,ACHIEVER PLUS,BLACK,STD,6.5,3 LAYER,127.2,0.204,8.00,1.63,"1,017.60"
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,153541,10.00-20 WIDE,ACHIEVER PLUS,BLACK,STD,7.5,3 LAYER,167.3,0.2622,12.00,3.15,"2,007.60"
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,154531,10.00-20 WIDE,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,157.4,0.2622,10.00,2.62,"1,574.00"
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,155531,12.00-20,ACHIEVER PLUS,BLACK,STD,8,3 LAYER,203.9,0.3074,8.00,2.46,"1,631.20"
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,156531,12.00-20,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,204.7,0.3074,4,1.23,818.8
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,177531,12.00 - 24 ,ACHIEVER PLUS,BLACK,STD,8.5,3 LAYER,240,0.3927,8.00,3.14,"1,920.00"
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,101542,15x4.1/2-8(125/75-8) WIDE,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,9.9,0.0161,8,0.13,79.2
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,102542,5.00-8 WIDE,ACHIEVER PLUS,BLACK,CLIP,3,3 LAYER,17.6,0.0263,10,0.26,176
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,103542,16x6-8(150/75-8) WIDE,ACHIEVER PLUS,BLACK,CLIP,4.33,3 LAYER,16.6,0.0257,4,0.1,66.4
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,111542,6.00-9 WIDE,ACHIEVER PLUS,BLACK,CLIP,4,3 LAYER,26.8,0.0383,6,0.23,160.8
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,118532,200/50-10,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,23.9,0.0388,6,0.23,143.4
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,125532,7.00-12 ,ACHIEVER PLUS,BLACK,CLIP,5,3 LAYER,46.1,0.0691,4,0.28,184.4
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,141532,7.00-15,ACHIEVER PLUS,BLACK,CLIP,5.5,3 LAYER,58.4,0.0943,8,0.75,467.2
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,140532,355/65-15,ACHIEVER PLUS,BLACK,CLIP,9.75,3 LAYER,124.2,0.1852,4,0.74,496.8
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,138542,8.25-15 WIDE,ACHIEVER PLUS,BLACK,CLIP,6.5,3 LAYER,91.5,0.1358,4,0.54,366
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,185532,315/ 45 - 12,ACHIEVER PLUS,BLACK,CLIP,10,3 LAYER,57.7,0.0932,8,0.75,461.6
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,101544,15x4.1/2-8(125/75-8) WIDE,ACHIEVER PLUS,N/M,CLIP,3,3 LAYER,9.7,0.0161,6,0.1,58.2
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,118534,200/50-10(6.50),ACHIEVER PLUS,N/M,CLIP,6.5,3 LAYER,23.6,0.0388,4.00,0.16,94.4
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,175562,355/ 50 - 20 ,ATIRE,BLACK,CLIP,10,3 LAYER,111.6,0.2127,8,1.7,892.8
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,170561,14.00-24,ATIRE,BLACK,STD,10,3 LAYER,368.5,0.5767,4,2.31,"1,474.00"
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,174561,465/ 55 - 20 ,ATIRE,BLACK,STD,16,3 LAYER,301.6,0.4903,8,3.92,"2,412.80"
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,165401,31x10-16 ,ATIRE SKIDSLOD,BLACK,STD,6,2 LAYER,74.2,0.1446,8,1.16,593.6
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,166401,31x10-20 ,ATIRE SKIDSLOD,BLACK,STD,7.5,2 LAYER,62.6,0.1446,8,1.16,500.8
6/4/2024,NLD-MTG,114,MTG-ORDER 07,928,167401,36x14-20,ATIRE SKIDSLOD,BLACK,STD,7.5,2 LAYER,128.3,0.265,8,2.12,"1,026.40"
